City,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
Inyonga,-6.72,67.53,89,32,3.6
Lebu,8.96,59.0,41,5,3.36
Plast,54.37,-2.58,74,0,10.87
Sao Filipe,14.9,71.85,93,0,19.82
Melo,-32.37,66.32,73,44,11.54
Ushuaia,-54.81,48.2,93,90,8.05
Albany,42.65,26.8,54,20,10.29
Qaanaaq,77.48,-11.13,89,44,6.96
Avarua,-21.21,78.8,78,75,2.24
Mayo,63.59,-0.41,64,90,11.41
Busselton,-33.64,73.38,91,12,19.37
Barrow,-38.31,68.39,77,56,11.21
Ponta do Sol,-20.63,71.4,71,48,10.76
Banda Aceh,5.56,78.02,100,36,2.37
Yumen,40.29,3.63,84,92,15.01
Castro,-42.48,51.11,100,68,2.71
Waipawa,-39.94,74.1,67,32,6.17
Khatanga,71.98,-1.5,70,88,8.97
Chuy,-33.69,68.07,85,76,13.44
Brae,60.4,42.01,80,76,20.8
Port Alfred,-33.59,72.62,91,88,6.96
Kawalu,-7.38,79.68,64,88,4.38
Yellowknife,62.45,-16.61,75,75,2.24
Jamestown,-33.21,92.24,56,48,6.29
Saldanha,41.42,23.03,85,0,3.38
Burlington,43.32,41.45,60,90,14.99
Cherskiy,68.75,16.64,76,92,9.64
Husavik,50.56,20.1,85,80,17.47
Muisne,0.61,71.9,100,100,3.38
Hermanus,-34.42,62.18,98,88,4.27
Mar del Plata,-46.43,62.63,55,0,20.38
Saint-Leu,-21.15,85.14,70,0,5.82
Corinto,-18.36,74.78,49,56,7.74
Punta Arenas,-53.16,51.8,76,75,12.75
Ponta Delgada,37.73,59.0,62,75,11.41
Amot,59.57,3.77,66,0,2.15
Rikitea,-23.12,80.13,99,76,17.47
Longyearbyen,78.22,10.4,72,20,11.41
Ostrovnoy,68.05,23.21,87,48,11.43
El Dorado,6.71,70.37,100,92,2.71
Impfondo,1.62,71.22,95,0,2.26
Auch,43.65,37.42,100,90,8.05
Chifeng,42.27,13.31,38,44,3.38
Makakilo City,21.35,75.67,73,1,8.05
Puerto Escondido,15.86,82.92,100,0,13.11
Ghanzi,-21.7,76.31,55,8,7.74
Ipixuna,-1.76,77.0,88,75,4.7
Astoria,46.19,42.8,87,90,8.05
Mataura,-46.19,73.83,70,64,14.12
Bluff,-23.58,96.02,32,20,16.46
Lompoc,34.64,47.12,100,1,5.82
Bethel,60.79,-5.69,72,0,14.45
Ruteng,-8.61,76.35,93,92,7.74
Nikolskoye,59.7,33.8,100,90,4.47
Grindavik,63.84,37.4,86,90,4.7
Te Anau,-45.41,76.76,50,24,4.72
Beringovskiy,63.05,27.3,86,44,18.25
Narsaq,60.91,32.0,82,20,3.36
Diego de Almagro,-26.39,56.06,74,0,2.04
Christchurch,-43.53,68.0,82,0,9.17
Inta,66.04,27.03,75,76,14.45
Biak,-0.91,89.81,68,20,5.17
Tuatapere,-46.13,70.32,78,68,10.76
Morwell,-38.24,78.78,81,32,1.81
Ballina,54.11,50.0,100,75,20.8
Chapais,49.78,6.8,77,90,11.41
Vila Velha,-3.71,78.8,88,40,5.82
Marsh Harbour,26.54,71.9,100,36,29.33
Poum,41.28,12.05,73,8,1.81
Knyaze-Volkonskoye,48.46,-2.21,53,0,22.37
Ribeira Grande,38.52,62.85,99,68,18.14
Gushikawa,26.35,61.41,59,90,9.17
Sanmenxia,34.77,23.39,79,80,3.15
Nanortalik,60.14,30.5,94,32,16.13
Hobart,-42.88,78.8,69,75,13.87
Vaini,15.34,83.87,43,0,4.38
Alvaraes,-3.22,75.0,98,44,4.16
Tuktoyaktuk,69.44,-6.49,76,90,6.93
Yangambi,0.77,73.92,95,8,3.38
Bulawayo,-20.16,70.82,68,0,7.96
Tara,33.0,43.72,52,75,2.24
Kapaa,22.08,70.75,88,40,4.7
Tashtagol,52.76,-12.12,57,0,3.27
Sitka,37.17,39.41,43,0,10.87
Saskylakh,71.97,-13.79,63,64,4.72
Bamiantong,44.93,4.04,51,20,10.76
Loanda,-22.93,77.52,75,44,16.13
Katsuura,33.93,41.11,51,75,8.05
Butaritari,3.07,81.89,100,88,15.79
Pangnirtung,66.15,-23.28,68,20,10.2
Shimoda,34.7,46.4,36,20,10.29
Pimentel,-3.7,75.32,92,88,3.49
Panjab,34.38,20.87,59,0,3.49
Atuona,-9.8,80.4,100,88,17.92
